,airborne,aquatic,backbone,breathes,catsize,domestic,eggs,feathers,fins,hair,legs,legs2,legs4,legs5,legs6,legs8,milk,predator,tail,toothed,venomous
aardvark,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
antelope,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
bass,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
bear,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,0
boar,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
buffalo,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
calf,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
carp,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
catfish,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
cavy,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
cheetah,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
chicken,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
chub,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
clam,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
crab,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
crayfish,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
crow,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
deer,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
dogfish,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
dolphin,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
dove,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
duck,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
elephant,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
flamingo,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
flea,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
frog,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0
frog,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1
fruitbat,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0
giraffe,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
girl,0,0,1,1,1,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0
gnat,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
goat,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
gorilla,0,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0
gull,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
haddock,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
hamster,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
hare,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
hawk,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
herring,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
honeybee,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1
housefly,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
kiwi,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
ladybird,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
lark,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
leopard,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
lion,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
lobster,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
lynx,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
mink,0,1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
mole,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
mongoose,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
moth,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
newt,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0
octopus,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
opossum,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
oryx,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
ostrich,0,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
parakeet,1,0,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
penguin,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0
pheasant,1,0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0
pike,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
piranha,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0
pitviper,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
platypus,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0
polecat,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
pony,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
porpoise,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0
puma,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
pussycat,0,0,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
raccoon,0,0,1,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,0
